X,Y,ID,LOCN,MPD_NAME,ADDRESS,CITY,ZIP,MPD_TYPE,MAP_TYPE,LABEL,MAP_DESC,MPD_DESC,LD,FULLNAME,CDSCODE,CHARTER,MAP_TYPE_MAPPING,TOOLTIP,NLA_URL
-118.529241108642125,34.189610765300166,1001,8814,RESEDA HS,18230 KITTRIDGE ST,RESEDA,91335,S,HS,Reseda High,"High School (High School, Academy School, Continuation High School, Newcomer School, Community Day School, Special Ed School, Magnet Center on Regular Campus)",High School,0,Reseda High School,19647331937226, ,HS,Name: Reseda High School\nAddress: 18230 KITTRIDGE ST RESEDA 91335,navigatela/reports/lausd_school_report.cfm?PK=1001
-118.538418501713679,34.18526060103877,1002,8842,SOCES MAG,18605 ERWIN ST,RESEDA,91335,SP,M,Sherman Oaks Center for Enriched Studies,Magnet School,Span Magnet,0,Sherman Oaks Center for Enriched Studies,19647331933233, ,M,Name: Sherman Oaks Center for Enriched Studies\nAddress: 18605 ERWIN ST RESEDA 91335,navigatela/reports/lausd_school_report.cfm?PK=1002
-118.547202064798313,34.183353624851478,1003,7411,VANALDEN ES,19019 DELANO ST,RESEDA,91335,E,ES,Vanalden Ave,"Elementary School (Elementary School, Primary Center, Children Center (EEC), State Preschool, Academy School, Newcomer School, Special Ed School, Magnet Center on Regular Campus)",Elementary School,0,Vanalden Avenue Elementary School,19647336019707, ,ES,Name: Vanalden Avenue Elementary School\nAddress: 19019 DELANO ST RESEDA 91335,navigatela/reports/lausd_school_report.cfm?PK=1003
-118.565022247234296,34.181850728183946,1004,2712,CALVERT CHRTR FOR ENR STUDIES,19850 DELANO ST,WOODLAND HILLS,91367,E,CCA,Calvert Chrtr for Enr Studies,Charter Conversion Affiliated - Elementary School Level,Elementary School,0,Calvert Charter for Enriched Studies,19647336016265,Y,CHAR,Name: Calvert Charter for Enriched Studies\nAddress: 19850 DELANO ST WOODLAND HILLS 91367,navigatela/reports/lausd_school_report.cfm?PK=1004
-118.525319760288085,34.223301545073504,1005,8283,NORTHRIDGE MS,17960 CHASE ST,NORTHRIDGE,91325,J,MS,Northridge Middle,"Middle School (Middle School, Academy School, Special Ed School, Magnet Center on Regular Campus)",Middle School,0,Northridge Middle School,19647336058200, ,MS,Name: Northridge Middle School\nAddress: 17960 CHASE ST NORTHRIDGE 91325,navigatela/reports/lausd_school_report.cfm?PK=1005
-118.506606386267748,34.212977999785068,1006,6890,STAGG ES,7839 AMESTOY AVE,VAN NUYS,91406,E,ES,Stagg St,"Elementary School (Elementary School, Primary Center, Children Center (EEC), State Preschool, Academy School, Newcomer School, Special Ed School, Magnet Center on Regular Campus)",Elementary School,0,Stagg Street Elementary School,19647336019319, ,ES,Name: Stagg Street Elementary School\nAddress: 7839 AMESTOY AVE VAN NUYS 91406,navigatela/reports/lausd_school_report.cfm?PK=1006
-118.513130185208951,34.216485617090136,1007,4973,LORNE ES,17440 LORNE ST,NORTHRIDGE,91325,E,ES,Lorne St,"Elementary School (Elementary School, Primary Center, Children Center (EEC), State Preschool, Academy School, Newcomer School, Special Ed School, Magnet Center on Regular Campus)",Elementary School,0,Lorne Street Elementary School,19 647336017966, ,ES,Name: Lorne Street Elementary School\nAddress: 17440 LORNE ST NORTHRIDGE 91325,navigatela/reports/lausd_school_report.cfm?PK=1007
-118.514269889652041,34.2032406240955,1008,2110,ANATOLA ES,7364 ANATOLA AVE,VAN NUYS,91406,E,ES,Anatola Ave,"Elementary School (Elementary School, Primary Center, Children Center (EEC), State Preschool, Academy School, Newcomer School, Special Ed School, Magnet Center on Regular Campus)",Elementary School,0,Anatola Avenue Elementary School,19647336015770, ,ES,Name: Anatola Avenue Elementary School\nAddress: 7364 ANATOLA AVE VAN NUYS 91406,navigatela/reports/lausd_school_report.cfm?PK=1008
-118.515580321371957,34.192960458285654,1009,4849,LEMAY ES,17520 VANOWEN ST,VAN NUYS,91406,E,ES,Lemay St,"Elementary School (Elementary School, Primary Center, Children Center (EEC), State Preschool, Academy School, Newcomer School, Special Ed School, Magnet Center on Regular Campus)",Elementary School,0,Lemay Street Elementary School,19647336017842, ,ES,Name: Lemay Street Elementary School\nAddress: 17520 VANOWEN ST VAN NUYS 91406,navigatela/reports/lausd_school_report.cfm?PK=1009
-118.505352950396656,34.192747744537016,1010,8259,MULHOLLAND MS,17120 VANOWEN ST,VAN NUYS,91406,J,MS,Mulholland Middle,"Middle School (Middle School, Academy School, Special Ed School, Magnet Center on Regular Campus)",Middle School,0,William Mulholland Middle School,19647336058184, ,MS,Name: William Mulholland Middle School\nAddress: 17120 VANOWEN ST VAN NUYS 91406,navigatela/reports/lausd_school_report.cfm?PK=1010
